股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600183,生益科技,15.4,+0.32,2.12%,6.87%,5854341,89493842.69,0.25%,21.247,3.877%,35842574522
SZ300845,捷安高科,18.33,+0.38,2.12%,0.27%,1165700,21454174,1.67%,59.692,1.364%,2031462576
SZ300119,瑞普生物,19.4,+0.4,2.11%,4.25%,1274202,24620729,0.39%,25.677,1.804%,9079564448
SZ300509,新美星,5.81,+0.12,2.11%,5.64%,1388573,8018085,0.57%,30.727,1.721%,1722084000
SH688611,杭州柯林,47.87,+0.99,2.11%,10.4%,51859,2476617.5,0.39%,28.256,3.133%,2675933000
SZ002749,国光股份,9.19,+0.19,2.11%,3.61%,960711,8772944,0.24%,22.053,2.394%,4001901138
SZ002647,仁东控股,7.25,+0.15,2.11%,7.73%,17544650,126248820,3.13%,,,4059540713
SH688158,优刻得-W,14.01,+0.29,2.11%,11.99%,5664054,79055814.72,1.59%,,,6347862085
SH688269,凯立新材,81.79,+1.69,2.11%,-4.67%,264553,21519702.88,0.44%,50.551,0.873%,10690280160
SH603588,高能环境,10.17,+0.21,2.11%,3.35%,3790931,38411568.89,0.3%,20.819,0.482%,15514527030
SZ300462,华铭智能,8.7,+0.18,2.11%,4.32%,847900,7326611,0.62%,,,1637905717
SH600137,浪莎股份,14.99,+0.31,2.11%,2.18%,764200,11411314,0.79%,103.47,1.134%,1457291644
SH600336,澳柯玛,5.81,+0.12,2.11%,6.22%,5628107,32551465.03,0.71%,24.923,1.377%,4637342537
SH603613,国联股份,99.15,+2.05,2.11%,12.11%,2155900,213353652.52,0.43%,53.596,0.118%,49441683802
SZ300088,长信科技,6.3,+0.13,2.11%,5.53%,21550100,134741530,0.88%,22.48,0.794%,15465975840
SZ300448,浩云科技,4.84,+0.1,2.11%,3.42%,2136809,10285946,0.45%,412.039,0.31%,3274342662
SZ002378,章源钨业,7.28,+0.15,2.1%,3.41%,5235862,37826995,0.57%,26.965,1.374%,6727938934
SZ301258,富士莱,41.28,+0.85,2.1%,5.17%,905473,37123535,3.95%,23.481,0.969%,3784137600
SH600428,中远海特,6.32,+0.13,2.1%,6.04%,28669996,180935156.07,1.34%,20.669,0.791%,13566832873
SH600505,西昌电力,7.83,+0.16,2.09%,0.38%,1461270,11348411.9,0.4%,72.78,0.447%,2854563525
SH601865,福莱特,35.74,+0.73,2.09%,7.3%,7779490,276075436.51,0.46%,40.228,0.644%,76729990381
SZ003017,大洋生物,28.85,+0.59,2.09%,4.11%,897900,25826907,2.12%,34.193,2.08%,1731000000
SZ301328,维峰电子,86.53,+1.77,2.09%,7.36%,685170,59254971,4.15%,60.509,,6339395126
SZ000589,贵州轮胎,4.89,+0.1,2.09%,2.09%,6407507,31099532,0.57%,14.834,1.697%,5611310379
SH688313,仕佳光子,9.79,+0.2,2.09%,8.18%,3409110,33244903.27,1.05%,49.452,0.358%,4491674791
SH600309,万华化学,95.28,+1.95,2.09%,2.84%,6141719,579977585.38,0.2%,15.985,2.624%,299155058525
SZ002481,双塔食品,5.87,+0.12,2.09%,-6.23%,8172714,47850691,0.74%,,,7241798455
SH688339,亿华通-U,79.89,+1.63,2.08%,7.96%,621321,49229885.08,0.76%,,,9388623827
SZ002735,王子新材,22.12,+0.45,2.08%,5.69%,3250540,72102861,2.38%,50.757,,4717872606
SH600456,宝钛股份,40.77,+0.83,2.08%,-0.22%,5454465,220888898.53,1.14%,32.548,2.085%,19478990265
SH688228,开普云,35.35,+0.72,2.08%,11.87%,260814,9192649.11,0.88%,38.092,0.769%,2373167104
SH688399,硕世生物,91.94,+1.87,2.08%,4.82%,340870,31147746.05,0.64%,2.959,10.877%,5389522800
SH601360,三六零,6.86,+0.14,2.08%,4.89%,33325282,228409826.12,0.47%,,1.458%,49017191531
