股票名称,股票代码,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
顺博合金,SZ002996,13.57,0.07,0.52%,4.14%,762700.0,10355971.0,0.6%,16.709,0.735%,5948450000
风光股份,SZ301100,24.03,0.18,0.75%,8.44%,761887.0,18286042.0,1.52%,57.47,4.143%,4806000000
东安动力,SH600178,6.29,0.06,0.96%,4.14%,761570.0,4775438.0,0.16%,60.55,0.906%,2992680731
奥普光电,SZ002338,23.09,0.36,1.58%,3.59%,760800.0,17539207.0,0.32%,72.91,0.173%,5541600000
西藏旅游,SH600749,11.84,0.06,0.51%,-8.85%,760500.0,8963785.0,0.34%,-80.91,0,2687271721
建新股份,SZ300107,5.26,0.04,0.77%,2.33%,760099.0,3982651.0,0.23%,53.72,1.901%,2902105418
金田股份,SH601609,6.87,0.04,0.59%,1.63%,759000.0,5207476.0,0.13%,16.928,1.603%,10166968558
申联生物,SH688098,8.55,0.18,2.15%,7.68%,758709.0,6461213.0,0.2%,38.721,1.05%,3511006200
博创科技,SZ300548,17.97,0.09,0.5%,6.39%,757430.0,13585394.0,0.35%,27.546,1.473%,4713147169
新时达,SZ002527,6.36,0.04,0.63%,4.26%,757359.0,4815950.0,0.14%,-190.455,1.101%,4222862769
中晶科技,SZ003026,48.53,0.11,0.23%,0.27%,756400.0,36634350.0,1.37%,116.498,1.216%,4902397716
欧克科技,SZ001223,77.46,1.83,2.42%,28.89%,755774.0,58870696.0,4.53%,24.431,0,5161032000
西部牧业,SZ300106,8.59,0.04,0.47%,-10.61%,755600.0,6471118.0,0.36%,124.53,0,1813231220
汇纳科技,SZ300609,16.6,0.43,2.66%,7.24%,755200.0,12459232.0,0.79%,-177.814,1.494%,2031271139
纳川股份,SZ300198,2.87,0.0,0%,6.3%,754800.0,2167084.0,0.08%,-13.602,0,2950228824
科华控股,SH603161,14.27,0.11,0.78%,14.34%,754800.0,10790476.0,0.57%,-14.426,0,1903618000
安道麦A,SZ000553,9.03,0.06,0.67%,-0.22%,754600.0,6799063.0,0.03%,22.635,0.088%,21038200247
广和通,SZ300638,19.78,0.22,1.12%,10.5%,753318.0,14847782.0,0.18%,34.328,0.662%,12490880745
北斗星通,SZ002151,28.47,0.35,1.24%,1.39%,753304.0,21409390.0,0.19%,89.468,0.207%,14598982032
太龙股份,SZ300650,10.21,0.09,0.89%,10.5%,752700.0,7673148.0,0.5%,34.655,1.153%,2226620485
立霸股份,SH603519,11.91,-0.01,-0.08%,7.78%,750900.0,8921718.0,0.28%,5.909,3.361%,3171964562
鹏鹞环保,SZ300664,5.2,0.02,0.39%,0.97%,749200.0,3888636.0,0.11%,12.729,1.156%,4023319206
佳讯飞鸿,SZ300213,4.93,0.04,0.82%,1.65%,748800.0,3686710.0,0.14%,35.196,1.014%,2927032521
帝奥微,SH688381,45.03,2.05,4.77%,13.37%,748765.0,33133045.0,1.32%,53.155,0,11356566000
灵康药业,SH603669,5.67,0.01,0.18%,-1.22%,748434.0,4237897.0,0.1%,-49.509,1.764%,4089420503
和晶科技,SZ300279,5.08,0.08,1.6%,2.83%,748000.0,3779745.0,0.17%,-50.112,0,2487118160
中科江南,SZ301153,114.4,2.56,2.29%,7.48%,747209.0,85139084.0,3.07%,62.828,0.873%,12355200000
岩石股份,SH600696,25.79,0.51,2.02%,3.66%,745800.0,19094568.0,0.22%,323.193,0,8625966625
天德钰,SH688252,18.11,0.21,1.17%,7.99%,745783.0,13444057.0,2.18%,30.884,0,7344611916
源飞宠物,SZ001222,25.44,0.54,2.17%,2.62%,745600.0,18902909.0,2.19%,21.503,0,3468744000
新澳股份,SH603889,7.18,-0.03,-0.42%,0%,744700.0,5384565.0,0.15%,9.686,4.172%,3674339066
宁波富达,SH600724,3.72,-0.01,-0.27%,1.92%,744400.0,2779860.0,0.05%,17.555,6.72%,5376296784
金龙机电,SZ300032,5.06,0.06,1.2%,0.2%,742600.0,3745802.0,0.09%,-14.188,0,4056006520
东莞控股,SZ000828,9.11,0.06,0.66%,1.56%,742462.0,6766037.0,0.07%,11.048,2.97%,9480394967
芯海科技,SH688595,44.9,1.11,2.53%,11.61%,742449.0,33161124.0,0.94%,402.344,0.309%,6392908965
海辰药业,SZ300584,31.89,0.19,0.6%,-0.96%,742000.0,23585264.0,1.16%,13.779,0.784%,3826800000
运达科技,SZ300440,7.09,0.11,1.58%,2.75%,741800.0,5235601.0,0.17%,32.139,0.563%,3153015170
东星医疗,SZ301290,40.0,-0.07,-0.17%,6.87%,741697.0,29503185.0,3.28%,34.633,0,4006933360
麦克奥迪,SZ300341,9.11,0.11,1.22%,3.41%,741600.0,6718700.0,0.14%,19.51,0.771%,4677012380
山河智能,SZ002097,5.98,0.03,0.5%,1.53%,739900.0,4423354.0,0.07%,-23.785,0,6501530541
克来机电,SH603960,19.15,0.03,0.16%,8.01%,739200.0,14087638.0,0.28%,197.257,0.298%,5045996275
南京港,SZ002040,6.95,0.0,0%,-4.92%,737960.0,5135359.0,0.15%,21.723,0.776%,3363569260
强力新材,SZ300429,7.47,0.05,0.67%,3.32%,736200.0,5491481.0,0.2%,70.304,0.602%,3849000029
飞荣达,SZ300602,15.79,0.08,0.51%,9.73%,734465.0,11642069.0,0.23%,-71.631,0.063%,8015323939
新宏泽,SZ002836,10.27,0.02,0.2%,8.56%,731760.0,7502381.0,0.38%,20.827,0.811%,1971840000
西域旅游,SZ300859,30.31,-0.01,-0.03%,-9.44%,731746.0,22113903.0,0.76%,-350.946,0.33%,4698050000
灿勤科技,SH688182,12.13,0.35,2.97%,5.66%,731642.0,8796947.0,0.76%,60.991,0.661%,4852000000
读者传媒,SH603999,5.6,0.0,0%,-4.76%,731100.0,4093016.0,0.13%,37.584,0.802%,3225600000
东箭科技,SZ300978,11.86,-0.01,-0.08%,6.27%,730000.0,8617486.0,0.55%,52.283,0.845%,5017481512
信安世纪,SH688201,60.61,1.88,3.2%,6.75%,728721.0,44143975.0,1.19%,52.517,0.554%,8353820418
热景生物,SH688068,60.59,1.44,2.43%,-0.51%,727651.0,43656755.0,0.79%,3.079,5.587%,5577344945
信科移动-U,SH688387,5.09,0.03,0.59%,1.39%,727543.0,3689289.0,0.16%,-30.211,0,17401437500
阿拉丁,SH688179,38.85,0.93,2.45%,7.47%,727438.0,28346126.0,1%,57.509,0.735%,5489853485
精功科技,SZ002006,25.82,-0.06,-0.23%,3.28%,727400.0,18809589.0,0.16%,64.82,0,11752231200
振华新材,SH688707,46.1,0.11,0.24%,2.56%,727182.0,33396449.0,0.26%,17.627,0.54%,20419294741
东方时尚,SH603377,6.51,0.01,0.15%,1.24%,726187.0,4711231.0,0.1%,274.777,0,4692049149
奥美医疗,SZ002950,12.38,0.09,0.73%,1.06%,724500.0,8949822.0,0.21%,26.203,1.698%,7839825739
中原内配,SZ002448,5.57,0.0,0%,3.53%,724300.0,4034754.0,0.15%,19.318,1.849%,3277441728
青岛食品,SZ001219,24.29,0.15,0.62%,-5.78%,723300.0,17532544.0,1.25%,31.685,0.953%,2802458750
法兰泰克,SH603966,11.91,0.17,1.45%,4.93%,723100.0,8568895.0,0.24%,18.954,1.839%,3576889365
龙软科技,SH688078,37.5,2.9,8.38%,17.3%,722873.0,26458006.0,1.59%,35.152,0.714%,2677875000
江苏雷利,SZ300660,25.75,0.08,0.31%,10.09%,722400.0,18632860.0,0.28%,28.637,1.722%,6749814952
开能健康,SZ300272,5.44,0.0,0%,4.41%,721705.0,3933997.0,0.18%,28.752,1.838%,3145587122
健友股份,SH603707,19.52,0.24,1.24%,8.2%,721659.0,14002785.0,0.04%,28.084,0.589%,31565301580
同为股份,SZ002835,10.89,0.19,1.78%,4.21%,721000.0,7829567.0,0.57%,23.144,1.102%,2390288909
辉隆股份,SZ002556,8.73,0.05,0.58%,-0.23%,720800.0,6281157.0,0.08%,14.521,4.582%,8318818786
恒为科技,SH603496,16.86,0.35,2.12%,10.85%,719900.0,12077019.0,0.32%,72.116,0,3840706955
虹软科技,SH688088,23.93,0.49,2.09%,6.31%,719699.0,17214504.0,0.27%,135.508,0.832%,9715580000
贵州茅台,SH600519,1908.91,21.91,1.16%,10.53%,719618.0,1366619177.0,0.06%,40.24,1.138%,2397968542398
创业环保,SH600874,6.11,0.02,0.33%,0.33%,719501.0,4395551.0,0.07%,12.279,2.177%,9595254499
北特科技,SH603009,6.25,0.02,0.32%,4.52%,718700.0,4497844.0,0.21%,43.751,1.022%,2242063056
寒武纪-U,SH688256,57.29,1.2,2.14%,5%,717796.0,40955243.0,0.3%,-19.716,0,22962671299
思进智能,SZ003025,22.22,-0.04,-0.18%,6.93%,716970.0,15928447.0,0.92%,25.584,1.398%,3626119574
太平鸟,SH603877,18.77,0.37,2.01%,2.07%,716756.0,13372103.0,0.15%,32.38,3.188%,8942933484
南京公用,SZ000421,4.9,0.01,0.2%,0.2%,715800.0,3499838.0,0.12%,38.475,2.041%,2828043157
威唐工业,SZ300707,16.05,0.06,0.38%,3.95%,715600.0,11413096.0,0.6%,36.282,0.249%,2521271076
金三江,SZ301059,23.41,0.29,1.25%,26.54%,713700.0,16608703.0,2.06%,49.873,1.068%,2849277200
*ST皇台,SZ000995,17.59,0.2,1.15%,6.28%,713500.0,12480924.0,0.4%,470.928,0,3120606720
博瑞医药,SH688166,24.68,0.37,1.52%,9.35%,713460.0,17459796.0,0.17%,39.325,0.471%,10426438125
华懋科技,SH603306,37.96,0.28,0.74%,1.47%,712680.0,26971709.0,0.22%,73.71,0.291%,12167757466
金盘科技,SH688676,41.02,0.17,0.42%,13.38%,712366.0,29400095.0,0.37%,74.294,0.483%,17516349735
壹网壹创,SZ300792,27.33,0.37,1.37%,-2.04%,711350.0,19353110.0,0.35%,24.128,0.916%,6515386545
跃岭股份,SZ002725,8.43,0.02,0.24%,4.85%,711000.0,6011296.0,0.35%,98.674,0.297%,2158080000
富春环保,SZ002479,4.41,0.03,0.68%,1.61%,709100.0,3110856.0,0.08%,22.465,4.556%,3806000000
正裕工业,SH603089,8.77,-0.01,-0.11%,6.17%,708600.0,6201964.0,0.32%,23.329,1.136%,1951333796
震有科技,SH688418,11.91,0.55,4.84%,2.41%,707553.0,8260833.0,0.53%,-17.77,0,2305895100
蓝科高新,SH601798,7.08,0.04,0.57%,4.42%,707500.0,5012711.0,0.2%,-19.266,0,2510059642
新化股份,SH603867,34.78,0.22,0.64%,7.68%,707390.0,24609822.0,0.38%,19.187,1.097%,6421351406
天域生态,SH603717,7.04,0.04,0.57%,2.33%,706900.0,4979656.0,0.24%,-16.858,0,2042629530
顶点软件,SH603383,48.98,1.28,2.68%,12.24%,706000.0,34405894.0,0.42%,62.158,1.12%,8389270694
火炬电子,SH603678,41.04,0.74,1.84%,0.24%,705797.0,28883934.0,0.15%,21.132,1.173%,18849485719
众合科技,SZ000925,7.08,0.05,0.71%,3.81%,705600.0,4990152.0,0.13%,28.659,0.707%,3956447455
明微电子,SH688699,51.05,1.42,2.86%,11.24%,704218.0,35873919.0,1.34%,53.316,3.067%,5618799872
海立股份,SH600619,5.66,-0.02,-0.35%,1.8%,704100.0,3982962.0,0.1%,24.498,2.655%,6137816668
南华生物,SZ000504,12.5,0.34,2.8%,7.39%,703100.0,8744779.0,0.23%,-372.038,0,3894673763
卓创资讯,SZ301299,50.76,1.34,2.71%,1.72%,703100.0,35678263.0,4.68%,50.368,0,3045000000
百花医药,SH600721,6.34,0.09,1.44%,3.26%,701600.0,4418516.0,0.19%,149.86,0,2394437849
城市传媒,SH600229,6.89,0.04,0.58%,-2.55%,701300.0,4819344.0,0.1%,14.972,2.562%,4624623120
南京熊猫,SH600775,10.02,-0.01,-0.1%,-3.75%,701000.0,7028950.0,0.1%,214.305,0.139%,9156662061
万集科技,SZ300552,18.98,0.32,1.71%,5.86%,700900.0,13285860.0,0.55%,-34.55,0.209%,4068711108
山东华鹏,SH603021,6.32,0.04,0.64%,5.69%,700692.0,4413028.0,0.22%,-5.097,0,2022071802
洁美科技,SZ002859,28.05,0.66,2.41%,-0.64%,700398.0,19289843.0,0.18%,55.093,0.715%,11505198969
长久物流,SH603569,8.93,0.13,1.48%,1.59%,699900.0,6232198.0,0.12%,129.012,0,5003914525
莱克电气,SH603355,30.98,0.36,1.18%,10.49%,699599.0,21667094.0,0.12%,20.99,3.231%,17788891347
美力科技,SZ300611,8.77,0.08,0.92%,11.15%,699000.0,6115875.0,0.45%,-137.588,0.477%,1851124944
电气风电,SH688660,6.23,0.02,0.32%,3.66%,698478.0,4339548.0,0.14%,240.903,1.849%,8306667082
超声电子,SZ000823,9.72,0.07,0.73%,4.63%,698300.0,6771045.0,0.13%,13.839,1.032%,5214164773
振德医疗,SH603301,39.51,0.65,1.67%,3.84%,698252.0,27537819.0,0.31%,18.517,1.293%,10527486991
宇环数控,SZ002903,20.77,0.01,0.05%,3.9%,697973.0,14431697.0,0.74%,41.941,0.966%,3162107880
杭氧股份,SZ002430,39.16,0.18,0.46%,-0.51%,697603.0,27215756.0,0.07%,27.259,1.523%,38554645297
道森股份,SH603800,27.67,0.52,1.92%,3.71%,697264.0,19273865.0,0.34%,73.796,0,5755360000
三川智慧,SZ300066,5.12,0.0,0%,3.23%,696000.0,3567127.0,0.07%,29.912,0.585%,5324970301
安居宝,SZ300155,4.77,0.07,1.49%,3.7%,695700.0,3301501.0,0.21%,-227.307,0.755%,2677056339
百达精工,SH603331,12.66,0.31,2.51%,8.76%,695500.0,8718298.0,0.39%,26.881,1.978%,2255627630
万事利,SZ301066,11.8,0.04,0.34%,5.08%,695100.0,8211826.0,0.96%,142.58,0.601%,2222555866
力鼎光电,SH605118,14.03,0.01,0.07%,12.24%,693608.0,9735310.0,1.66%,33.473,0.853%,5714846915
中马传动,SH603767,7.62,0.03,0.4%,6.42%,691600.0,5258952.0,0.22%,39.092,3.919%,2342730900
隆扬电子,SZ301389,19.38,0.03,0.16%,5.9%,691144.0,13323691.0,1.03%,30.237,0,5494230000
安记食品,SH603696,10.08,-0.03,-0.3%,-6.84%,691100.0,6974920.0,0.29%,92.588,1.239%,2370816000
